country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
Germany,1941,71850770.0,639431147520.0,660.793,652.393,0.026,2.766,5.608,0.0
Germany,1942,71830612.0,648060272640.0,667.899,661.99,0.026,2.283,3.602,0.0
Germany,1943,71678963.0,661088894976.0,679.43,672.747,0.018,2.18,4.485,0.0
Germany,1944,71527635.0,677550751744.0,600.273,597.928,0.132,2.213,0.0,0.0
Germany,1945,71376625.0,482064990208.0,116.065,114.258,0.136,1.671,0.0,0.0
Germany,1946,71225935.0,228572053504.0,271.682,268.241,0.165,1.993,1.283,0.0
Germany,1947,71075562.0,256643006464.0,317.66,314.254,0.117,1.77,1.519,0.0
Germany,1948,70925507.0,303971500032.0,377.816,364.81,0.103,9.688,3.216,0.0
Germany,1949,70888212.0,355660922880.0,432.148,421.371,0.081,5.917,4.779,0.0
Germany,1950,70964104.0,422965084160.0,510.682,496.901,0.044,7.566,6.171,0.0
Germany,1951,70820040.0,461743915008.0,576.866,558.774,0.055,11.076,6.96,0.0
Germany,1952,70808376.0,501792178176.0,610.981,590.362,0.099,13.055,7.465,0.0
Germany,1953,70879448.0,543743705088.0,623.492,597.188,0.227,17.126,8.951,0.0
Germany,1954,71020736.0,584376975360.0,659.732,625.474,0.363,24.413,9.482,0.0
Germany,1955,71222632.0,648607432704.0,723.498,682.295,0.729,29.88,10.594,0.0
Germany,1956,71473272.0,695152345088.0,766.191,715.128,1.059,38.897,11.106,0.0
Germany,1957,71771632.0,734905368576.0,777.908,720.17,1.052,45.503,11.183,0.0
Germany,1958,72136480.0,767711444992.0,756.379,688.729,1.037,55.125,11.488,0.0
Germany,1959,72578952.0,823838441472.0,755.795,670.654,1.187,70.426,13.527,0.0
Germany,1960,73063696.0,890209959936.0,813.95,707.214,1.348,90.593,14.795,0.0
Germany,1961,73604352.0,926835933184.0,834.84,711.645,1.48,105.691,16.023,0.0
Germany,1962,74194424.0,966424920064.0,883.169,732.013,1.968,132.369,16.819,0.0
