country,year,population,gdp,co2,coal_co2,gas_co2,oil_co2,cement_co2,methane
Brazil,1941,42575027.0,70802128896.0,6.281,5.76,0.0,0.143,0.378,0.0
Brazil,1942,43657003.0,68221296640.0,5.867,5.445,0.004,0.048,0.37,0.0
Brazil,1943,44817135.0,77735960576.0,6.475,5.962,0.011,0.132,0.37,0.0
Brazil,1944,46008096.0,80576684032.0,5.896,5.408,0.007,0.081,0.4,0.0
Brazil,1945,47230706.0,82817277952.0,6.823,6.375,0.004,0.062,0.382,0.0
Brazil,1946,48485805.0,91503345664.0,7.46,6.892,0.018,0.143,0.407,0.0
Brazil,1947,49774257.0,94744731648.0,8.947,8.427,0.004,0.066,0.451,0.0
Brazil,1948,51096948.0,103940636672.0,7.847,7.233,0.007,0.059,0.549,0.0
Brazil,1949,52489682.0,111894872064.0,7.367,6.68,0.011,0.044,0.632,0.0
Brazil,1950,53955360.0,119498719232.0,19.659,6.383,0.004,12.579,0.687,0.0
Brazil,1951,55591060.0,125334814720.0,21.659,6.276,0.004,14.645,0.72,0.0
Brazil,1952,57283340.0,134544285696.0,24.934,6.008,0.004,18.108,0.799,0.0
Brazil,1953,59025680.0,140888047616.0,25.218,5.62,0.007,18.537,1.003,0.0
Brazil,1954,60827596.0,151832723456.0,29.676,5.752,0.015,22.549,1.236,0.0
Brazil,1955,62701036.0,165244239872.0,34.024,5.862,0.015,26.656,1.37,0.0
Brazil,1956,64644888.0,170024681472.0,36.608,5.071,0.018,29.737,1.617,0.0
Brazil,1957,66660892.0,183084417024.0,35.974,5.027,0.033,29.056,1.679,0.0
Brazil,1958,68735928.0,202937286656.0,39.054,3.95,0.066,32.855,1.872,0.0
Brazil,1959,70880824.0,222726635520.0,39.017,4.107,0.092,32.474,1.897,0.0
Brazil,1960,73092520.0,243618988032.0,46.852,4.965,0.114,39.018,2.21,0.0
Brazil,1961,75330008.0,264690925568.0,49.136,4.679,0.114,41.472,2.321,0.0
Brazil,1962,77599224.0,282182189056.0,53.613,5.668,0.11,44.826,2.489,0.0
Brazil,1963,79915560.0,283741028352.0,55.523,5.419,0.165,46.91,2.534,0.0
Brazil,1964,82262800.0,293385633792.0,56.626,6.17,0.161,46.999,2.74,0.0
Brazil,1965,84623752.0,300547047424.0,56.279,6.944,0.194,45.766,2.726,0.0
Brazil,1966,86979288.0,320583729152.0,64.162,8.365,0.245,51.857,2.922,0.0
Brazil,1967,89323288.0,334149091328.0,66.033,8.123,0.256,53.725,3.085,0.0
Brazil,1968,91659248.0,366804795392.0,77.224,8.533,0.231,63.978,3.493,0.0
Brazil,1969,94000384.0,401601724416.0,84.088,9.416,0.234,69.422,3.741,0.0
Brazil,1970,96369888.0,443496726528.0,93.488,8.904,0.154,78.255,4.288,0.0
Brazil,1971,98766288.0,493683376128.0,102.337,8.984,0.249,87.053,4.669,0.0
Brazil,1972,101194392.0,552789540864.0,114.019,9.373,0.275,97.726,5.422,0.0
Brazil,1973,103666904.0,629980135424.0,132.061,9.01,0.377,115.365,6.382,0.0
Brazil,1974,106167376.0,681263693824.0,143.016,9.541,0.692,124.836,7.107,0.0
Brazil,1975,108700512.0,716641599488.0,150.327,11.062,0.78,129.706,7.973,0.0
Brazil,1976,111286504.0,790037659648.0,154.607,11.52,0.916,132.208,9.121,0.0
Brazil,1977,113939888.0,828975480832.0,162.363,15.055,1.132,135.293,10.062,0.0
Brazil,1978,116664384.0,870261981184.0,177.117,17.708,1.484,145.469,11.438,0.0
Brazil,1979,119447304.0,929101316096.0,187.787,18.463,1.63,154.526,12.014,0.0
Brazil,1980,122288384.0,1014791995392.0,186.191,19.987,1.883,150.21,12.803,0.0
Brazil,1981,125168064.0,971272355840.0,171.324,19.723,1.685,135.528,12.64,0.0
Brazil,1982,128065104.0,978935414784.0,171.5,21.552,2.382,133.194,12.244,0.0
